YearsGroup,DevType,Database,Count,Rank
junior,Developer Advocate,MySQL,1,2
junior,Developer Advocate,Elasticsearch,1,3
junior,Developer Advocate,Snowflake,1,4
junior,Developer Experience,MySQL,4,1
junior,Developer Experience,Microsoft SQL Server,3,2
junior,Developer Experience,PostgreSQL,2,3
junior,Developer Experience,MongoDB,2,4
junior,Developer Experience,IBM DB2,1,5
junior,Developer Experience,BigQuery,1,6
junior,Developer Experience,SQLite,1,7
junior,Developer Experience,Microsoft Access,1,8
junior,"Developer, QA or test",MySQL,99,1
junior,"Developer, QA or test",PostgreSQL,67,2
junior,"Developer, QA or test",Microsoft SQL Server,50,3
junior,"Developer, QA or test",SQLite,47,4
junior,"Developer, QA or test",MongoDB,46,5
junior,"Developer, QA or test",Oracle,26,6
junior,"Developer, QA or test",Redis,20,7
junior,"Developer, QA or test",MariaDB,20,8
junior,"Developer, QA or test",Elasticsearch,18,9
junior,"Developer, QA or test",Firebase,18,10
junior,"Developer, QA or test",DynamoDB,15,11
junior,"Developer, QA or test",Firebase Realtime Database,5,12
junior,"Developer, QA or test",Cloud Firestore,5,13
junior,"Developer, QA or test",Cassandra,5,14
junior,"Developer, QA or test",Couchbase,2,15
junior,"Developer, QA or test",Other(s):,2,16
junior,"Developer, QA or test",Neo4j,1,17
junior,"Developer, QA or test",Cosmos DB,1,18
junior,"Developer, QA or test",Supabase,1,19
junior,"Developer, QA or test",IBM DB2,1,20
junior,"Developer, back-end",MySQL,750,1
junior,"Developer, back-end",PostgreSQL,585,2
junior,"Developer, back-end",MongoDB,471,3
junior,"Developer, back-end",Microsoft SQL Server,338,4
junior,"Developer, back-end",SQLite,338,5
junior,"Developer, back-end",Redis,274,6
junior,"Developer, back-end",MariaDB,163,7
junior,"Developer, back-end",Firebase,162,8
junior,"Developer, back-end",Oracle,152,9
junior,"Developer, back-end",Elasticsearch,126,10
junior,"Developer, back-end",DynamoDB,94,11
junior,"Developer, back-end",Cloud Firestore,30,12
junior,"Developer, back-end",Firebase Realtime Database,30,13
junior,"Developer, back-end",Cassandra,23,14
junior,"Developer, back-end",IBM DB2,21,15
junior,"Developer, back-end",Dynamodb,20,16
junior,"Developer, back-end",Couchbase,12,17
junior,"Developer, back-end",H2,9,18
junior,"Developer, back-end",BigQuery,7,19
junior,"Developer, back-end",Neo4J,6,20
