Language,DevType,Count,Rank
Bash/Shell (all shells),Scientist,10,31
Bash/Shell (all shells),Student,5,32
Bash/Shell (all shells),Marketing or sales professional,5,33
Bash/Shell/PowerShell,"Developer, back-end",6400,1
Bash/Shell/PowerShell,"Developer, full-stack",6046,2
Bash/Shell/PowerShell,"Developer, front-end",3328,3
Bash/Shell/PowerShell,"Developer, desktop or enterprise applications",2564,4
Bash/Shell/PowerShell,DevOps specialist,2367,5
Bash/Shell/PowerShell,System administrator,1734,6
Bash/Shell/PowerShell,Database administrator,1552,7
Bash/Shell/PowerShell,"Developer, mobile",1443,8
Bash/Shell/PowerShell,"Engineer, data",1098,9
Bash/Shell/PowerShell,"Developer, embedded applications or devices",1069,10
Bash/Shell/PowerShell,Data scientist or machine learning specialist,1044,11
Bash/Shell/PowerShell,"Developer, QA or test",1025,12
Bash/Shell/PowerShell,Designer,897,13
Bash/Shell/PowerShell,Data or business analyst,843,14
Bash/Shell/PowerShell,"Engineer, site reliability",780,15
Bash/Shell/PowerShell,Engineering manager,760,16
Bash/Shell/PowerShell,Academic researcher,687,17
Bash/Shell/PowerShell,Educator,615,18
Bash/Shell/PowerShell,Scientist,546,19
Bash/Shell/PowerShell,Product manager,516,20
Bash/Shell/PowerShell,"Developer, game or graphics",500,21
Bash/Shell/PowerShell,Senior executive/VP,314,22
Bash/Shell/PowerShell,Student,225,23
Bash/Shell/PowerShell,Marketing or sales professional,76,24
C,"Developer, back-end",6015,1
C,"Developer, full-stack",5951,2
C,"Developer, front-end",2887,3
C,"Developer, desktop or enterprise applications",2810,4
C,"Developer, embedded applications or devices",2218,5
C,"Developer, mobile",2038,6
C,DevOps specialist,1575,7
C,System administrator,1429,8
C,Database administrator,1206,9
C,Data scientist or machine learning specialist,1035,10
C,"Engineer, data",987,11
C,Designer,902,12
C,"Developer, QA or test",878,13
C,Academic researcher,840,14
C,Engineering manager,835,15
C,"Developer, game or graphics",681,16
C,Data or business analyst,646,17
C,Educator,605,18
C,Product manager,586,19
C,"Engineer, site reliability",578,20
C,Scientist,555,21
C,Student,478,22
C,Cloud infrastructure engineer,416,23
C,Other (please specify):,343,24
C,"Senior Executive (C-Suite, VP, etc.)",303,25
C,Project manager,235,26
C,Security professional,207,27
C,Senior executive/VP,149,28
C,Blockchain,102,29
