YearsGroup,DevType,Database,Count,Rank
senior,Data or business analyst,Dynamodb,1,32
senior,Data or business analyst,Supabase,1,33
senior,Data scientist or machine learning specialist,PostgreSQL,2290,1
senior,Data scientist or machine learning specialist,MySQL,1903,2
senior,Data scientist or machine learning specialist,SQLite,1632,3
senior,Data scientist or machine learning specialist,Microsoft SQL Server,1258,4
senior,Data scientist or machine learning specialist,MongoDB,1224,5
senior,Data scientist or machine learning specialist,Redis,983,6
senior,Data scientist or machine learning specialist,Elasticsearch,928,7
senior,Data scientist or machine learning specialist,Oracle,641,8
senior,Data scientist or machine learning specialist,MariaDB,638,9
senior,Data scientist or machine learning specialist,DynamoDB,391,10
senior,Data scientist or machine learning specialist,Firebase,285,11
senior,Data scientist or machine learning specialist,Cassandra,245,12
senior,Data scientist or machine learning specialist,IBM DB2,128,13
senior,Data scientist or machine learning specialist,BigQuery,92,14
senior,Data scientist or machine learning specialist,Snowflake,69,15
senior,Data scientist or machine learning specialist,Cloud Firestore,65,16
senior,Data scientist or machine learning specialist,Couchbase,64,17
senior,Data scientist or machine learning specialist,Firebase Realtime Database,57,18
senior,Data scientist or machine learning specialist,Dynamodb,56,19
senior,Data scientist or machine learning specialist,Other(s):,56,20
senior,Data scientist or machine learning specialist,Neo4j,55,21
senior,Data scientist or machine learning specialist,Neo4J,32,22
senior,Data scientist or machine learning specialist,DuckDB,21,23
senior,Data scientist or machine learning specialist,InfluxDB,18,24
senior,Data scientist or machine learning specialist,Solr,18,25
senior,Data scientist or machine learning specialist,Cosmos DB,15,26
senior,Data scientist or machine learning specialist,Microsoft Access,15,27
senior,Data scientist or machine learning specialist,CouchDB,13,28
senior,Data scientist or machine learning specialist,Clickhouse,11,29
senior,Data scientist or machine learning specialist,Couch DB,6,30
senior,Data scientist or machine learning specialist,Supabase,5,31
senior,Data scientist or machine learning specialist,Cockroachdb,5,32
senior,Data scientist or machine learning specialist,H2,3,33
senior,Data scientist or machine learning specialist,Firebird,2,34
senior,Data scientist or machine learning specialist,Datomic,1,35
senior,Database administrator,MySQL,3504,1
senior,Database administrator,PostgreSQL,2971,2
senior,Database administrator,Microsoft SQL Server,2938,3
