YearsGroup,DevType,Database,Count,Rank
middle,Senior executive/VP,MongoDB,7,5
middle,Senior executive/VP,Redis,7,6
middle,Senior executive/VP,Elasticsearch,6,7
middle,Senior executive/VP,Microsoft SQL Server,5,8
middle,Senior executive/VP,MariaDB,4,9
middle,Senior executive/VP,IBM DB2,1,10
middle,Senior executive/VP,Oracle,1,11
middle,Senior executive/VP,Couchbase,1,12
middle,Senior executive/VP,Cassandra,1,13
middle,Senior executive/VP,Other(s):,1,14
middle,Student,MySQL,353,1
middle,Student,PostgreSQL,257,2
middle,Student,SQLite,226,3
middle,Student,MongoDB,218,4
middle,Student,Microsoft SQL Server,172,5
middle,Student,MariaDB,126,6
middle,Student,Firebase,126,7
middle,Student,Redis,122,8
middle,Student,Oracle,97,9
middle,Student,Elasticsearch,53,10
middle,Student,DynamoDB,30,11
middle,Student,Cloud Firestore,25,12
middle,Student,Firebase Realtime Database,25,13
middle,Student,Couchbase,10,14
middle,Student,Other(s):,10,15
middle,Student,IBM DB2,9,16
middle,Student,Cassandra,7,17
middle,Student,Neo4j,2,18
middle,Student,Dynamodb,1,19
middle,Student,CouchDB,1,20
middle,System administrator,MySQL,388,1
middle,System administrator,PostgreSQL,307,2
middle,System administrator,SQLite,237,3
middle,System administrator,MongoDB,216,4
middle,System administrator,Microsoft SQL Server,209,5
middle,System administrator,MariaDB,175,6
middle,System administrator,Redis,162,7
middle,System administrator,Elasticsearch,100,8
middle,System administrator,Firebase,89,9
middle,System administrator,Oracle,88,10
middle,System administrator,DynamoDB,54,11
middle,System administrator,Cassandra,17,12
middle,System administrator,Firebase Realtime Database,15,13
middle,System administrator,Cloud Firestore,14,14
middle,System administrator,IBM DB2,9,15
middle,System administrator,Couchbase,7,16
middle,System administrator,Microsoft Access,4,17
middle,System administrator,InfluxDB,4,18
middle,System administrator,Neo4j,4,19
middle,System administrator,CouchDB,3,20
middle,System administrator,Other(s):,3,21
middle,System administrator,Dynamodb,2,22
middle,System administrator,Solr,1,23
middle,System administrator,BigQuery,1,24
middle,System administrator,Supabase,1,25
